Обновлено 20.07.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2017 гг., рублей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;2014;;;;;;;;;;;;2015 1);;;;;;;;;;;;2016 1);;;;;;;;;;;;2017;;;;
;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май
Новгородская область;21011;20513;22032;21912;23097;23433;23777;23476;23540;23569;23450;29002;22792;23087;24154;25227;24743;25475;25609;24649;24836;25029;25177;31221;25266;24268;25457;25359;26511;26376;26908;26098;25741;25763;25773;31686;25343;26042;26720;26362;27826;28428;28436;27956;27830;27494;27358;34388;26801;25799;28384;27903;29380
Псковская область;18077;17519;18289;19931;20643;21325;19490;19104;19040;19886;19419;24513;19232;18902;19648;20947;21129;22342;20948;19714;20271;21045;20723;25694;19972;20062;20740;21130;22068;22513;21309;20664;20970;21380;20944;25529;20693;21185;21414;21736;22532;23632;21872;21387;22039;22319;22027;26454;21182;21290;22565;22747;24331
г.Санкт-Петербург;32618;33117;36375;36296;36320;38745;37333;35861;37068;37367;38720;51019;36000;36196;40475;40196;39000;41758;40976;37705;39615;40509;41235;54444;39647;40550;42598;44144;42656;44813;43407;40520;41709;43215;43479;57603;42104;45919;48407;46919;47370;50521;48483;46084;47192;47908;48591;65086;47771;51024;53271;53261;52269
Республика Адыгея;17050;17389;18369;18308;19540;20209;17801;17892;18269;18697;19423;25179;18983;19001;19679;20433;20850;22129;19645;19528;20072;20725;21324;27250;20110;20447;20977;21748;22242;23595;20434;20964;20725;21789;21836;27194;20972;21507;22047;22093;23667;24943;21595;22096;22631;22400;23527;28359;21982;22618;23604;23029;24773
Республика Калмыкия;15957;15061;16615;16439;17113;18957;17213;17061;17316;17615;17652;24789;17877;17146;18204;18826;19973;22153;18198;18006;18840;18690;19773;24921;18259;18999;18726;19356;21458;22664;18939;18536;19391;19227;19703;25529;18644;19660;19846;19326;22195;23266;19450;20406;21225;20561;21288;27656;20203;20999;21751;22046;24551
Республика Крым;;;;;;;;;;;;;;;;;;;;;;;;;17912;18844;21422;20130;21314;24462;22838;21570;23135;23933;23790;30222;22979;22687;23875;23516;24632;28834;24853;24763;26222;24921;25105;30795;23599;24017;25125;25284;26323
Краснодарский край;21815;21353;22768;23141;24182;24060;24109;24547;24164;24926;25202;31411;24319;23503;25386;27323;25449;26906;25670;25342;25512;25097;25139;32102;24371;23753;26239;26440;26964;27290;26865;26596;26529;26573;25984;32872;25233;25833;26906;27660;29098;28967;28362;28893;29004;28768;28429;35914;27152;28174;29390;29526;31297
Астраханская область;19125;20565;20292;23410;21489;22640;22505;22985;21366;22690;22467;30764;21643;22142;22778;25999;23677;24984;24119;24838;23472;24047;23907;31973;23015;23973;24037;27167;25133;26861;25047;25605;24488;24127;24150;32070;23737;25083;24850;26265;29178;28604;26207;27424;26324;25324;26118;33915;24362;26040;27129;30942;28013
Волгоградская область;18879;18678;19722;20825;20590;21245;21561;21249;20877;21047;21623;27759;21723;21536;22509;23901;22764;25021;23817;22985;24028;23745;24104;31059;22108;22179;23064;23814;23670;25470;23825;23209;23581;23554;24491;30488;23229;24077;24614;24978;26217;26969;24981;25070;25179;25004;26085;32580;25622;25546;26946;27509;28621
Ростовская область;19455;19261;20431;21133;20891;22054;21448;21093;21033;22020;22251;28353;21017;20838;22264;23332;23175;24739;23524;22561;23323;23626;23661;29661;22203;22512;23563;24377;24396;25736;24917;23592;24266;24434;24564;30024;23403;24162;25161;25856;26320;28285;26619;25723;26599;26791;26776;33992;25421;25750;27390;28034;28256
г.Севастополь;;;;;;;;;;;;;;;;;;;;;;;;;19227;19963;24015;21951;21967;23933;24714;21992;23977;25385;25062;38054;23651;25511;24799;26698;26616;29258;26002;25063;26277;26274;25579;36663;25682;26011;28188;26302;25652
Республика Дагестан;14320;14304;17235;16072;17614;18573;16896;16729;16947;17022;18522;21915;16995;17555;18841;18713;18751;20770;18829;17438;19074;18773;20657;26374;17452;18644;18482;18166;19001;21359;18630;17105;18839;18415;18303;24155;17783;18981;19303;18654;19982;22103;19366;18455;20156;19269;19840;25517;18320;19633;20526;20248;22383
Республика Ингушетия;17194;18902;20238;20754;22113;24085;22632;19064;20959;22080;22053;27353;23258;20242;20627;20411;20637;22750;21934;20209;20499;21488;23565;27300;22055;21893;21813;21597;22724;22963;22218;19916;20398;20579;20395;24861;20118;21431;20734;20525;21797;23498;20993;20767;20963;20626;21356;25480;20669;21078;21168;21346;22760
Кабардино-Балкарская Республика;16648;16739;17353;17140;17794;18753;18383;17369;17778;18459;19102;23689;18601;18096;18813;18886;19545;20192;19713;18592;19328;19646;20695;24267;19397;19456;19699;19720;21358;21490;21179;19786;19996;19883;20156;24173;19725;20497;20594;20362;21281;22568;21381;20799;21233;20914;21359;27120;19820;20163;20691;21188;21219
Карачаево-Черкесская Республика;16048;15455;16616;17294;17987;18558;17669;17025;17738;17904;18812;24304;18405;17741;19222;18689;19057;20523;20328;18792;19430;19113;20814;25857;19064;19510;19979;19528;20186;22772;20779;19782;20117;19622;19932;25015;19640;20323;20598;20140;21171;23108;21516;20657;21664;20585;21540;26426;20773;20844;22248;22186;22836
Республика Северная  Осетия - Алания;17856;17405;17349;17995;18617;19238;19375;18423;17958;18615;19978;31110;19698;18860;19696;19414;19438;22428;19686;18225;19218;19427;20457;27254;19601;20066;20241;20283;21456;23906;20443;19148;19988;19918;20269;27118;20170;21388;21271;20707;22871;24600;20829;20439;21168;20965;21683;28911;21163;22080;22413;20938;23598
Чеченская Республика;18692;18328;20224;20050;23409;23850;20920;20856;22035;20925;21706;29142;21185;21147;22141;21231;22067;23714;21596;20945;21950;21776;22092;26120;21394;22223;22236;21704;23003;21713;21595;20717;21623;21368;21545;26089;21196;21914;22364;21897;22301;22999;21816;21189;22326;22376;22646;27572;21623;22819;23281;22768;22874
Ставропольский край;17742;18120;19058;19480;20073;21891;21021;20647;20373;21112;21391;27632;19884;19661;21036;22023;22002;23613;23545;22142;22081;22584;23440;28677;21380;20656;22506;22603;22965;24207;24890;23776;23306;23581;24011;30240;22187;22836;23509;24081;24861;26803;25727;25688;25685;24962;25505;32761;24245;23833;25445;25751;25991
Республика Башкортостан;20138;20070;21379;23174;22672;22759;21841;22246;21733;22470;23139;27957;21788;21612;22492;25506;24172;25306;24222;24359;24964;24974;25333;31037;24145;23835;24544;25562;26008;26297;25607;25583;25368;25714;26171;31694;24922;25163;26163;29066;28840;27875;26786;27519;28109;27218;28109;34050;26760;26998;28093;29140;31983
Республика Марий Эл;16041;16715;17319;17964;18380;19300;18910;18731;18278;18373;19306;23571;18745;18071;19054;19827;20446;21483;20425;19556;20164;20664;21012;26700;18883;19568;20630;22476;21882;23143;21310;20843;20937;24404;21403;28613;20332;20296;22104;22076;24667;24572;23726;22648;22513;22098;23094;31118;21995;22764;26816;23617;28832
Республика Мордовия;16060;15992;17333;17203;15806;19026;18784;18513;18106;18215;18591;22978;17419;17937;18622;18768;19216;20193;20722;20246;20739;20350;20688;26276;19404;20052;21308;20993;23252;23558;22031;21957;22646;21361;21286;27294;20285;20619;22267;22652;23258;24460;22967;24315;23860;23284;23784;28381;22026;22078;24134;23604;24727
Республика Татарстан;23042;22943;24242;25632;26225;25758;25762;25266;25534;26020;26422;35196;25698;25259;26463;28024;28915;28975;27826;27533;27971;28555;28396;36547;27119;26762;27759;29005;30882;30288;28918;28006;28648;28730;28498;37412;27988;27843;29279;29681;32211;31748;29589;29794;29655;29463;29943;38624;29300;29645;31543;31874;33377
Удмуртская Республика;19139;19075;19868;21204;21506;21505;21652;21588;21081;21865;22087;26848;21438;21925;22606;23511;23484;23996;23665;23027;24113;23563;23760;29333;23260;23018;24227;25266;26143;26086;24912;24605;25226;24981;25193;30457;24695;24093;25347;25770;27807;27814;25944;25910;26383;26682;27046;32192;25802;26457;27216;28218;30134
Чувашская Республика;16892;17047;18293;18731;19148;21100;19381;19345;19502;19484;19854;24618;18868;18636;19711;20225;20980;23076;20538;19794;20749;20724;20483;26517;19683;19612;20516;21015;21518;22985;20623;20495;21060;21020;20690;26884;19956;20364;21652;21467;22342;24749;21582;22437;23573;22972;23004;28962;21694;21975;23506;23592;24743
Пермский край;21780;21474;22901;24140;24240;25733;24501;24127;24174;24606;24684;34898;25656;24280;25415;27408;26780;27970;26963;25874;26276;26469;26593;36869;25826;25446;27417;28248;27984;29541;27997;27112;27444;27535;27276;37321;27347;27883;29344;29732;30391;31992;30433;30025;30168;29914;30389;40244;29905;29812;31884;32565;32767
Кировская область;17276;17168;18384;18405;18904;19285;19858;19312;18788;19764;20099;24656;19514;19096;20062;20242;21086;21520;21631;20359;20540;20809;20735;25580;20483;20074;21217;21452;22381;23578;22016;21195;21499;21808;21584;26435;21748;21539;22887;22761;23713;25211;23387;23326;23130;23542;23671;28671;22889;22702;24163;24217;24900
Нижегородская область;20429;21122;22179;23228;23740;24356;23421;23096;23118;23888;24376;32455;23538;23747;24684;25591;25913;26544;25219;24751;24971;25900;25629;34899;24447;25657;25838;26674;26834;27629;26533;24755;26199;26269;26386;34263;24959;26241;26731;27673;28570;29323;26889;27163;28040;27481;28717;37262;27493;28424;29554;30301;30865
Оренбургская область;18861;19510;20632;21238;21119;22345;21510;21575;21239;21393;21602;27265;21531;21378;23545;22849;23970;24365;23496;23436;23475;23297;23072;27966;22886;22876;23900;25446;25851;26033;25432;24353;24428;24140;24022;29860;23821;24287;25159;25823;27524;27221;25434;26443;25698;25258;25393;31471;25214;25229;26604;27125;29285
