Судак - 16597
Айхал - 14057
Удачный - 11695
Алдан - 20892
Вилюйск - 10744
Беслан - 37034
Емва - 13180
Ардон - 19513
Алагир - 20211
Заводской - 16507
Эльхотово - 12510
Сунжа - 11955
Моздок - 40564
Дигора - 10134
Октябрьское - 10221
Заинск - 40878
Азнакаево - 34700
Кизляр - 11426
Менделеевск - 22183
Нурлат - 33141
Ногир - 11797
Буинск - 20886
Агрыз - 19739
Кукмор - 17694
Бавлы - 22235
Васильево - 17534
Камские Поляны - 15624
Арск - 20046
Джалиль - 13422
Мамадыш - 15573
Мензелинск - 17043
Алексеевское - 11658
Нижняя Мактама - Н/Д
Каа-Хем - 16942
Ак-Довурак - 13700
Уруссу - 10637
Шагонар - 10935
Можга - 49733
Тетюши - 11410
Балезино - Н/Д
Игра - Н/Д
Камбарка - 10577
Завьялово - Н/Д
Саяногорск - Н/Д
Абаза - 15800
Кизнер - Н/Д
Усть-Абакан - Н/Д
Белый Яр - Н/Д
Шира - Н/Д
Сорск - Н/Д
Курчалой - 24847
Ачхой-Мартан - 22922
Цоци-Юрт - 19776
Бачи-Юрт - 18273
Гойты - 18014
Автуры - 17014
Катыр-Юрт - 14005
Гелдагана - 13269
Гехи - 13629
Аргун - 35738
Майртуп - 12962
Шелковская - 12504
Аллерой - 12332
Алхан-Кала - 11814
Серноводская - 11808
Старые Атаги - 11887
Герменчук - 11844
Мескер-Юрт - 11599
Знаменское - 11412
Ассиновская - 10903
Ойсхара - 11267
Червлённая - 10431
Канаш - 45716
Самашки - 12199
Шумерля - 29954
Цивильск - 14039
Кугеси - Н/Д
Алатырь - 35591
Заринск - 47035
Камень-на-Оби - 41787
Славгород - 30370
Алейск - 28528
Вурнары - Н/Д
Тальменка - 19044
Яровое - 18085
Белокуриха - 15072
Павловск - Н/Д
Кулунда - 14498
Алтайское - 14235
Горняк - 13040
Шипуново - 13462
Поспелиха - 11915
Благовещенка - 11548
Сибирский - 14709
Михайловское - 10756
Змеиногорск - 10569
Волчиха - Н/Д
Борзя - 29050
Агинское - 17708
Петровск-Забайкальский - 16803
Нерчинск - 14820
Могоча - 13526
Шилка - 12983
Чернышевск - 12968
Забайкальск - 13030
Карымское - 12808
Шерловая Гора - 12298
Балей - 11587
Горный - Н/Д
Первомайский - 11406
Хилок - 10853
Могойтуй - 10905
Атамановка - 10495
Новокручининский - 10255
Елизово - Н/Д
Вилючинск - Н/Д
Курганинск - 49006
Ува - Н/Д
Южный - 20028
Усть-Лабинск - 41729
Кез - Н/Д
Апшеронск - 40349
Темрюк - 39646
Каневская - Н/Д
Абинск - 37415
Кореновск - 41876
Динская - Н/Д
Ленинградская - Н/Д
Новокубанск - 35440
Приморско-Ахтарск - 31987
Горячий Ключ - 35805
Староминская - Н/Д
Гулькевичи - 34289
Павловская - Н/Д
Мостовской - 25118
Северская - Н/Д
Полтавская - Н/Д
Елизаветинская - Н/Д
Новотитаровская - Н/Д
Отрадная - Н/Д
Тбилисская - Н/Д
Ильский - 24944
Кущёвская - Н/Д
Брюховецкая - Н/Д
Ахтырский - 20935
Анапская - Н/Д
Хадыженск - 22733
Белая Глина - 16813
Гостагаевская - Н/Д
Старомышастовская - Н/Д
Нововеличковская - Н/Д
Пластуновская - 11544
Васюринская - Н/Д
Кавказская - 10593
Казанская - Н/Д
Калининская - 13847
Старовеличковская - Н/Д
Стародеревянковская - Н/Д
Новоминская - Н/Д
Платнировская - Н/Д
Трудобеликовский - Н/Д
Марьянская - Н/Д
Новомышастовская - Н/Д
Ивановская - Н/Д
Витязево - Н/Д
Старонижестеблиевская - Н/Д
Октябрьская - Н/Д
Варениковская - Н/Д
Киевское - Н/Д
Крыловская - Н/Д
Михайловская - Н/Д
Холмская - Н/Д
Новопокровская - Н/Д
Петровская - Н/Д
Анастасиевская - Н/Д
Выселки - Н/Д
Афипский - 20115
Псебай - Н/Д
Старотитаровская - 12955
Тамань - Н/Д
Успенское - Н/Д
Старощербиновская - 17530
Медведовская - Н/Д
Новомихайловский - 10788
Ладожская - Н/Д
Дивногорск - 29049
Боготол - 20477
Шарыпово - Н/Д
Берёзовка - 20894
Сосновоборск - 38415
Дудинка - 21978
Бородино - 16218
Енисейск - 18156
Шушенское - 16846
Кодинск - 16227
Богучаны - Н/Д
Курагино - 13200
Емельяново - 11553
Ужур - 15566
Иланский - 15137
Заозерный - 10277
Добрянка - 33194
Чернушка - 32982
Кудымкар - 31007
Верещагино - 22261
Оса - 21143
Чусовой - 45546
Нытва - 18863
Губаха - 20645
Уяр - 12209
Красновишерск - 15643
Александровск - 13108
Горнозаводск - 11511
Яйва - 10033
Кизел - 16173
Кондратово - Н/Д
Спасск-Дальний - 41539
Очёр - 14151
Партизанск - 37470
Большой Камень - 38718
Полазна - 12976
Дальнереченск - 26378
Лучегорск - 19578
Дальнегорск - 35405
Лесозаводск - 36027
Фокино - Н/Д
Славянка - 12518
Черниговка - Н/Д
Трудовое - Н/Д
Камень-Рыболов - Н/Д
Хороль - Н/Д
Кавалерово - Н/Д
Пограничный - 10179
Покровка - Н/Д
Светлоград - 37515
Горячеводский - 36678
Зеленокумск - 35568
Благодарный - 31558
Александровское - Н/Д
Новоалександровск - 27067
Новопавловск - 26295
Кочубеевское - Н/Д
Нефтекумск - 24958
Ипатово - 24782
Чугуевка - Н/Д
Железноводск - 25126
Иноземцево - 27663
Ессентукская - Н/Д
Лермонтов - 22635
Изобильный - 38409
Краснокумское - Н/Д
Суворовская - Н/Д
Красногвардейское - Н/Д
Свободы - 17851
Зольская - Н/Д
Курская - Н/Д
Левокумское - Н/Д
Юца - Н/Д
Донское - Н/Д
Надежда - Н/Д
Курсавка - Н/Д
Дивное - Н/Д
Незлобная - Н/Д
Солнечнодольск - 11710
Александрийская - Н/Д
Прасковея - Н/Д
Лысогорская - Н/Д
Советская Гавань - 25147
Николаевск-на-Амуре - 19634
Бикин - 16097
Арзгир - Н/Д
Вяземский - 13323
Ванино - 15559
Солнечный - 12181
Чегдомын - 12234
Амурск - 40561
Зея - 23734
Тында - 33450
Райчихинск - 17783
Шимановск - 18810
Прогресс - 10215
Магдагачи - 10122
